id,amount,date,note,created_at,updated_at,category_id,user_id,both_flg,mypay,partnerpay,percent
69,4940,2018-04-13,ゆりりんとご飯,2018-04-13 15:11:01.330386,2018-04-13 15:11:01.330386,10,1,f,,,
70,1316,2018-04-13,TSUTAYA,2018-04-13 15:11:32.640068,2018-04-13 15:11:32.640068,14,1,f,,,
71,3000,2018-04-14,"",2018-04-14 11:16:17.523602,2018-04-14 11:16:17.523602,11,1,f,,,
72,1166,2018-04-14,クルミッコ,2018-04-14 11:17:00.651846,2018-04-14 11:17:00.651846,10,1,t,583,583,1
73,198,2018-04-14,"",2018-04-14 11:17:14.506294,2018-04-14 11:17:14.506294,1,1,f,,,
74,387,2018-04-14,農業前のセブン,2018-04-14 11:18:00.028652,2018-04-14 11:18:00.028652,1,1,t,193,194,1
75,4800,2018-04-14,逗子　農業,2018-04-14 12:13:39.318671,2018-04-14 12:13:39.318671,10,2,t,2400,2400,1
76,32400,2018-04-27,Crossfit,2018-04-14 15:38:31.15662,2018-04-14 15:38:31.15662,12,1,f,,,
77,5980,2018-04-12,DMM英会話,2018-04-14 15:40:13.368677,2018-04-14 15:40:13.368677,14,1,f,,,
78,5280,2018-04-15,"",2018-04-15 04:09:50.542382,2018-04-15 04:09:50.542382,9,1,t,2640,2640,1
79,5165,2018-04-15,3月携帯代,2018-04-15 05:40:13.943714,2018-04-15 05:40:13.943714,13,1,f,,,
80,199,2018-04-15,Avengers,2018-04-15 06:30:28.540626,2018-04-15 06:30:28.540626,14,1,f,,,
81,992,2018-04-10,"",2018-04-15 13:18:02.660489,2018-04-15 13:18:02.660489,1,2,t,330,662,2
82,1892,2018-04-11,"",2018-04-15 13:18:24.155411,2018-04-15 13:18:24.155411,1,2,t,630,1262,2
83,2214,2018-04-09,"",2018-04-15 13:19:03.232666,2018-04-15 13:19:03.232666,1,2,t,738,1476,2
84,705,2018-04-08,"",2018-04-15 13:19:30.265029,2018-04-15 13:19:30.265029,1,2,t,235,470,2
85,935,2018-04-15,"",2018-04-15 13:19:56.462859,2018-04-15 13:19:56.462859,1,2,t,311,624,2
86,2159,2018-04-12,"",2018-04-15 13:20:16.467545,2018-04-15 13:20:16.467545,1,2,t,719,1440,2
87,1030,2018-04-08,"",2018-04-15 13:20:42.659344,2018-04-15 13:20:42.659344,2,2,t,515,515,1
88,3200,2018-04-15,カレー,2018-04-15 13:21:34.913192,2018-04-15 13:21:34.913192,1,2,t,1600,1600,1
89,981,2018-04-15,水,2018-04-15 13:35:16.308435,2018-04-15 13:35:16.308435,1,1,t,654,327,3
90,3431,2018-04-28,"",2018-04-15 23:11:36.345809,2018-04-15 23:11:36.345809,17,1,f,,,
91,6000,2018-04-17,"",2018-04-17 03:25:56.072267,2018-04-17 03:25:56.072267,16,1,f,,,
92,4284,2018-04-17,"",2018-04-17 09:34:44.73335,2018-04-17 09:34:44.73335,7,1,t,2142,2142,1
93,2570,2018-04-17,花粉症,2018-04-17 10:19:40.894219,2018-04-17 10:19:40.894219,15,1,f,,,
94,586,2018-04-17,"",2018-04-17 10:20:33.670103,2018-04-17 10:20:33.670103,1,1,f,,,
95,1008,2018-04-17,うがい薬,2018-04-17 10:21:48.06725,2018-04-17 10:21:48.06725,3,1,f,,,
96,1000,2018-04-18,ランチチケット,2018-04-18 04:41:22.370131,2018-04-18 04:41:22.370131,1,2,f,,,
97,6000,2018-04-18,"",2018-04-18 07:11:51.718667,2018-04-18 07:11:51.718667,16,1,f,,,
98,700,2018-04-18,"",2018-04-18 07:12:05.97638,2018-04-18 07:12:05.97638,1,1,f,,,
99,2700,2018-04-21,"",2018-04-21 07:47:26.82076,2018-04-21 07:47:26.82076,19,1,f,,,
100,2000,2018-04-21,"",2018-04-21 07:48:30.602554,2018-04-21 07:48:30.602554,11,1,f,,,
101,22680,2018-04-18,"",2018-04-21 07:49:10.752594,2018-04-21 07:49:10.752594,18,1,f,,,
102,408,2018-04-21,"",2018-04-21 07:49:42.359965,2018-04-21 07:49:42.359965,3,1,f,,,
103,1231,2018-04-21,"",2018-04-21 07:50:26.266496,2018-04-21 07:50:26.266496,1,1,f,,,
104,399,2018-04-21,ドクターストレンジ,2018-04-21 15:01:14.987029,2018-04-21 15:01:14.987029,5,1,t,199,200,1
105,360,2018-04-21,Evernote,2018-04-21 17:11:15.723368,2018-04-21 17:11:15.723368,13,1,f,,,
106,2470,2018-04-22,餃子,2018-04-22 11:35:56.85234,2018-04-22 11:35:56.85234,2,2,t,1235,1235,1
107,831,2018-04-20,"",2018-04-22 13:18:52.065383,2018-04-22 13:18:52.065383,1,2,t,277,554,2
