id,user_id,notification_message_id,notified_by_id,record_meta,read_flg,created_at,updated_at
7,1,7,12,"{""id"":12,""user_id"":1,""name"":""ロープ\u0026カラビナ"",""bought_flg"":false,""memo"":"""",""created_at"":""2018-06-10T22:26:40.135Z"",""updated_at"":""2018-06-10T22:26:40.135Z""}",t,2018-06-10 22:26:40.148301,2018-06-10 23:10:12.21653
6,1,7,11,"{""id"":11,""user_id"":1,""name"":""デッキブラシ"",""bought_flg"":false,""memo"":""ベランダ掃除"",""created_at"":""2018-06-10T22:24:51.490Z"",""updated_at"":""2018-06-10T22:24:51.490Z""}",t,2018-06-10 22:24:51.503006,2018-06-10 23:10:12.243775
